Action,Form,Position,SI,Triage
Fill online media forms,PDF attachment,By hierarchy (CEO / Editor),0.98,High
Send letters by post,Ready-made template,By workplace / company,0.98,High
Pay for advertising,Ready-made template,By geographic location,0.98,High
Fill online media forms,HTML email,By thematic interest,0.98,High
Post on forums,Infographic,By hierarchy (CEO / Editor),0.98,High
Post on forums,Ready-made template,By workplace / company,0.98,High
Post on forums,HTML email,By thematic interest,0.9469,High
Fill online media forms,Ready-made template,By geographic location,0.9366,High
Send letters by post,Ready-made template,By thematic interest,0.9353,High
Send letters by post,PDF attachment,By hierarchy (CEO / Editor),0.9166,High
Send email,HTML email,By workplace / company,0.9108,High
Send email,HTML email,By hierarchy (CEO / Editor),0.801,High
Send email,Ready-made template,By geographic location,0.7466,High
Send email,PDF attachment,By hierarchy (CEO / Editor),0.7191,High
Send email,HTML email,By thematic interest,0.6692,High
Send email,HTML email,By geographic location,0.6662,High
Meet key people in person,HTML email,By workplace / company,0.6633,High
Pay for advertising,Personalized report,By hierarchy (CEO / Editor),0.649,High
Send letters by post,Personalized report,By geographic location,0.6097,Mid
Fill online media forms,Ready-made template,By workplace / company,0.6048,Mid
Meet key people in person,Personalized report,By workplace / company,0.6034,Mid
Meet key people in person,HTML email,By hierarchy (CEO / Editor),0.5966,Mid
Send letters by post,HTML email,By geographic location,0.5788,Mid
Send email,PDF attachment,By thematic interest,0.5536,Mid
Pay for advertising,HTML email,By hierarchy (CEO / Editor),0.5426,Mid
Send letters by post,Ready-made template,By hierarchy (CEO / Editor),0.5324,Mid
Post on forums,Video pitch,By hierarchy (CEO / Editor),0.5307,Mid
Post on forums,Personalized report,By geographic location,0.5229,Mid
Meet key people in person,Ready-made template,By geographic location,0.5122,Mid
Fill online media forms,Personalized report,By workplace / company,0.5103,Mid
Send email,Ready-made template,By thematic interest,0.5039,Mid
Pay for advertising,Infographic,By hierarchy (CEO / Editor),0.4965,Mid
Pay for advertising,Personalized report,By thematic interest,0.4949,Mid
Fill online media forms,Personalized report,By geographic location,0.4924,Mid
Meet key people in person,Infographic,By hierarchy (CEO / Editor),0.4883,Mid
Meet key people in person,Infographic,By thematic interest,0.4803,Mid
Post on forums,Infographic,By workplace / company,0.4735,Mid
Fill online media forms,Video pitch,By geographic location,0.4726,Mid
Fill online media forms,Personalized report,By thematic interest,0.4686,Mid
Post on forums,Video pitch,By thematic interest,0.4638,Mid
Send letters by post,HTML email,By thematic interest,0.4611,Mid
Meet key people in person,Ready-made template,By workplace / company,0.461,Mid
Send letters by post,Video pitch,By workplace / company,0.4443,Mid
Pay for advertising,Ready-made template,By hierarchy (CEO / Editor),0.4441,Mid
Meet key people in person,Infographic,By geographic location,0.4396,Mid
Send letters by post,Video pitch,By thematic interest,0.4384,Mid
Pay for advertising,HTML email,By workplace / company,0.438,Mid
Post on forums,Personalized report,By thematic interest,0.4361,Mid
Pay for advertising,Personalized report,By workplace / company,0.4316,Mid
Pay for advertising,Video pitch,By workplace / company,0.4285,Mid
Fill online media forms,Video pitch,By thematic interest,0.4271,Mid
Meet key people in person,Personalized report,By thematic interest,0.4195,Mid
Meet key people in person,PDF attachment,By geographic location,0.4124,Mid
Meet key people in person,Personalized report,By hierarchy (CEO / Editor),0.406,Mid
Pay for advertising,Video pitch,By thematic interest,0.4028,Mid
Pay for advertising,PDF attachment,By thematic interest,0.4026,Mid
Pay for advertising,PDF attachment,By geographic location,0.3981,Mid
Post on forums,HTML email,By workplace / company,0.3888,Mid
Pay for advertising,Infographic,By workplace / company,0.3878,Mid
Send email,Personalized report,By workplace / company,0.3874,Mid
Meet key people in person,Infographic,By workplace / company,0.3836,Mid
Fill online media forms,Ready-made template,By hierarchy (CEO / Editor),0.3809,Mid
Meet key people in person,Video pitch,By geographic location,0.3794,Low
Send email,Infographic,By workplace / company,0.3625,Low
Pay for advertising,PDF attachment,By hierarchy (CEO / Editor),0.3608,Low
Pay for advertising,Infographic,By thematic interest,0.3599,Low
Send email,Video pitch,By thematic interest,0.3572,Low
Send email,Video pitch,By workplace / company,0.3567,Low
Send email,Personalized report,By thematic interest,0.3547,Low
Post on forums,Ready-made template,By hierarchy (CEO / Editor),0.3544,Low
Post on forums,Personalized report,By hierarchy (CEO / Editor),0.3536,Low
Post on forums,Video pitch,By geographic location,0.3536,Low
Meet key people in person,PDF attachment,By workplace / company,0.3509,Low
Fill online media forms,PDF attachment,By thematic interest,0.3502,Low
Send email,Video pitch,By hierarchy (CEO / Editor),0.3484,Low
Post on forums,HTML email,By geographic location,0.3442,Low
Fill online media forms,PDF attachment,By workplace / company,0.3418,Low
Post on forums,Personalized report,By workplace / company,0.3417,Low
Meet key people in person,Ready-made template,By thematic interest,0.3387,Low
